no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy,attack_probability,attackable_slots_count,successful_reorgs,failed_reorgs,malicious_blocks_proposal_percent,malicious_blocks_finality_percent,malicious_finality_probability,delayed_block_influence,total_malicious_blocks_final,total_final_blocks,total_blocks
4,128,0.05,9,0.5,1.7921603940370006,1.0,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.05,9,0.5,2.3298085122481007,1.0,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.058823529411764705,2,0,2,0.08571428571428572,0.058823529411764705,0.6666666666666666,1,2,34,35
4,128,0.05,9,0.5,3.028751065922531,1.0,0.9714285714285714,0.029411764705882353,0.3470668257548097,0.0,0,0,0,0.02857142857142857,0.029411764705882353,1.0,0,1,34,35
4,128,0.05,9,0.5,3.9373763856992907,1.0,0.8,0.21428571428571427,0.9160662948426003,0.058823529411764705,2,1,1,0.05714285714285714,0.03571428571428571,0.5,2,1,28,35
4,128,0.05,9,0.5,5.118589301409078,1.0,0.7714285714285715,0.2962962962962963,1.0285696280152528,0.058823529411764705,2,2,0,0.05714285714285714,0.07407407407407407,1.0,2,2,27,35
4,128,0.05,9,0.5,6.654166091831802,1.0,0.7714285714285715,0.2962962962962963,1.0285696280152528,0.11764705882352941,4,1,3,0.14285714285714285,0.14814814814814814,0.8,1,4,27,35
4,128,0.05,9,0.5,8.650415919381343,1.0,0.5428571428571428,0.8421052631578947,1.2674480837331317,0.08823529411764706,3,1,2,0.08571428571428572,0.0,0.0,3,0,19,35
4,128,0.05,9,0.5,11.245540695195746,1.0,0.5714285714285714,0.7,1.221964328888494,0.058823529411764705,2,2,0,0.05714285714285714,0.1,1.0,2,2,20,35
4,128,0.05,9,0.5,14.61920290375447,1.0,0.4,1.3571428571428572,1.2571056533942897,0.029411764705882353,1,1,0,0.02857142857142857,0.07142857142857142,1.0,1,1,14,35
4,128,0.05,9,0.5,19.00496377488081,1.0,0.34285714285714286,1.8333333333333333,1.1727717207607475,0.029411764705882353,1,1,0,0.02857142857142857,0.0,0.0,1,0,12,35
4,128,0.05,9,0.5,24.706452907345053,1.0,0.2571428571428571,2.7777777777777777,0.8278890099486462,0.029411764705882353,1,1,0,0.08571428571428572,0.0,0.0,1,0,9,35
4,128,0.1,9,0.5,0.1,1.0,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.11428571428571428,0.11428571428571428,1.0,0,4,35,35
4,128,0.1,9,0.5,0.13,1.0,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.14285714285714285,0.14285714285714285,1.0,0,5,35,35
4,128,0.1,9,0.5,0.169,1.0,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.14285714285714285,0.14285714285714285,1.0,0,5,35,35
4,128,0.1,9,0.5,0.21970000000000003,1.0,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0,3,35,35
4,128,0.1,9,0.5,0.28561000000000003,1.0,1.0,0.0,0.12974069471942834,0.14705882352941177,5,1,4,0.14285714285714285,0.14285714285714285,1.0,0,5,35,35
4,128,0.1,9,0.5,0.37129300000000004,1.0,1.0,0.0,0.12974069471942834,0.14705882352941177,5,0,5,0.17142857142857143,0.17142857142857143,1.0,0,6,35,35
4,128,0.1,9,0.5,0.4826809000000001,1.0,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0,3,35,35
4,128,0.1,9,0.5,0.6274851700000001,1.0,1.0,0.0,0.12974069471942834,0.029411764705882353,1,0,1,0.08571428571428572,0.08571428571428572,1.0,0,3,35,35
