no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy,successful_reorgs,malicious_blocks_percent,failed_reorgs,attack_probability
8,128,0.1,5,0.4,1.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.14814814814814814,2.0,0.07692307692307693
8,128,0.1,5,0.4,1.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.11111111111111112,0.0,0.0
8,128,0.1,5,0.4,4.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.18518518518518517,1.0,0.038461538461538464
8,128,0.1,5,0.4,4.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.14814814814814814,0.0,0.0
8,128,0.1,5,0.5,1.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.037037037037037035,0.0,0.0
8,128,0.1,5,0.5,1.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.14814814814814814,2.0,0.07692307692307693
8,128,0.1,5,0.5,4.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.07407407407407407,0.0,0.0
8,128,0.1,5,0.5,4.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.037037037037037035,0.0,0.0
8,128,0.1,5,0.6,1.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.037037037037037035,0.0,0.0
8,128,0.1,5,0.6,1.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.037037037037037035,0.0,0.0
8,128,0.1,5,0.6,4.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.07407407407407407,1.0,0.038461538461538464
8,128,0.1,5,0.6,4.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.037037037037037035,0.0,0.0
8,128,0.1,6,0.4,1.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.037037037037037035,1.0,0.038461538461538464
8,128,0.1,6,0.4,1.0,50.0,0.9703703703703702,0.0,0.15841057013179086,0.0,0.0,0.0,0.0
8,128,0.1,6,0.4,4.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.07407407407407407,1.0,0.038461538461538464
8,128,0.1,6,0.4,4.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.037037037037037035,1.0,0.038461538461538464
8,128,0.1,6,0.5,1.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.07407407407407407,0.0,0.0
8,128,0.1,6,0.5,1.0,50.0,0.962962962962963,0.0,0.15841057013179086,1.0,0.14814814814814814,0.0,0.038461538461538464
8,128,0.1,6,0.5,4.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.14814814814814814,1.0,0.038461538461538464
8,128,0.1,6,0.5,4.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.11111111111111112,1.0,0.038461538461538464
8,128,0.1,6,0.6,1.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.11111111111111112,0.0,0.0
8,128,0.1,6,0.6,1.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.07407407407407407,0.0,0.0
8,128,0.1,6,0.6,4.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.07407407407407407,1.0,0.038461538461538464
8,128,0.1,6,0.6,4.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.2962962962962963,4.0,0.15384615384615385
8,128,0.1,7,0.4,1.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.037037037037037035,0.0,0.0
8,128,0.1,7,0.4,1.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.0,0.0,0.0
8,128,0.1,7,0.4,4.0,10.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.037037037037037035,0.0,0.0
8,128,0.1,7,0.4,4.0,50.0,0.962962962962963,0.0,0.15841057013179086,0.0,0.11111111111111112,1.0,0.038461538461538464
