no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy,attack_probability,attackable_slots_count,successful_reorgs,failed_reorgs,malicious_blocks_proposal_percent,malicious_blocks_finality_percent,malicious_finality_probability,delayed_block_influence
4,128,0.0,8,0.0,8.100000000000001,0.9000000000000001,0.5428571428571428,0.8421052631578947,1.1972479412873862,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,8.100000000000001,2.7,0.6857142857142857,0.4583333333333333,1.185683986047072,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,8.100000000000001,8.100000000000001,0.5428571428571428,0.8421052631578947,1.0294261663587387,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,8.100000000000001,24.300000000000004,0.6571428571428571,0.5217391304347826,1.2357752575175691,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,8.100000000000001,72.9,0.6285714285714286,0.5909090909090909,1.237234658583701,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,8.100000000000001,218.70000000000002,0.34285714285714286,0.5833333333333334,1.185683986047072,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,8.100000000000001,656.1,0.5142857142857142,0.8333333333333334,1.2395295283107282,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,24.300000000000004,0.1,0.37142857142857144,1.3076923076923077,1.2913357845703215,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,24.300000000000004,0.30000000000000004,0.37142857142857144,1.4615384615384615,1.1895751054055173,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,24.300000000000004,0.9000000000000001,0.37142857142857144,1.6153846153846154,1.2260315040182406,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,24.300000000000004,2.7,0.2857142857142857,2.4,1.0282090982084546,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,24.300000000000004,8.100000000000001,0.2857142857142857,2.3,1.0124162695566874,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,24.300000000000004,24.300000000000004,0.37142857142857144,1.3076923076923077,1.224633923345467,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,24.300000000000004,72.9,0.2,2.142857142857143,1.2933038709291362,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,24.300000000000004,218.70000000000002,0.3142857142857143,2.0,1.0539464898076139,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,24.300000000000004,656.1,0.3142857142857143,2.0,1.1311855541846947,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,72.9,0.1,0.14285714285714285,4.6,0.8544116950152295,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,72.9,0.30000000000000004,0.11428571428571428,4.0,1.026231341950113,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,72.9,0.9000000000000001,0.17142857142857143,3.3333333333333335,1.082767455490867,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,72.9,2.7,0.17142857142857143,4.666666666666667,0.7256945348971955,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,72.9,8.100000000000001,0.17142857142857143,3.8333333333333335,0.973236925968363,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,72.9,24.300000000000004,0.17142857142857143,3.6666666666666665,1.0293439727797304,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,72.9,72.9,0.17142857142857143,3.5,1.1384606873445553,0.0,0,0,0,0.0,0.0,0.0,0
4,128,0.0,8,0.0,72.9,218.70000000000002,0.17142857142857143,3.0,1.1447252645114134,0.0,0,0,0,0.0,0.0,0.0,0
