no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy
8,128,0.0,0,0.0,5.0625,102.4,0.9259259259259259,0.08,0.6037974141151747
8,128,0.0,0,0.0,5.0625,204.8,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,5.0625,409.6,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,5.0625,819.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,7.59375,0.1,0.8148148148148148,0.13636363636363635,0.7493309481686361
8,128,0.0,0,0.0,7.59375,0.2,0.8148148148148148,0.18181818181818182,0.8655013604939207
8,128,0.0,0,0.0,7.59375,0.4,0.7037037037037037,0.2631578947368421,0.956608498101539
8,128,0.0,0,0.0,7.59375,0.8,0.6296296296296297,0.17647058823529413,0.8655013604939207
8,128,0.0,0,0.0,7.59375,1.6,0.6666666666666666,0.3333333333333333,1.0247727743980646
8,128,0.0,0,0.0,7.59375,3.2,0.5925925925925926,0.3125,1.0247727743980646
8,128,0.0,0,0.0,7.59375,6.4,0.7037037037037037,0.3157894736842105,1.0247727743980646
8,128,0.0,0,0.0,7.59375,12.8,0.2222222222222222,0.3333333333333333,0.8655013604939207
8,128,0.0,0,0.0,7.59375,25.6,0.9259259259259259,0.08,0.6037974141151747
8,128,0.0,0,0.0,7.59375,51.2,0.37037037037037035,0.9,1.2590634027712944
8,128,0.0,0,0.0,7.59375,102.4,0.9259259259259259,0.08,0.6037974141151747
8,128,0.0,0,0.0,7.59375,204.8,0.2222222222222222,1.1666666666666667,1.2532727359780704
8,128,0.0,0,0.0,7.59375,409.6,0.6666666666666666,0.3333333333333333,1.0247727743980646
8,128,0.0,0,0.0,7.59375,819.2,0.8888888888888888,0.125,0.7224980276090904
8,128,0.0,0,0.0,11.390625,0.1,0.18518518518518517,1.6,1.2779221760883268
8,128,0.0,0,0.0,11.390625,0.2,0.18518518518518517,1.4,1.3122299614711503
8,128,0.0,0,0.0,11.390625,0.4,0.2962962962962963,0.875,1.1892379099281574
8,128,0.0,0,0.0,11.390625,0.8,0.2962962962962963,1.25,1.3045114949589194
8,128,0.0,0,0.0,11.390625,1.6,0.3333333333333333,1.3333333333333333,1.3019477368462544
8,128,0.0,0,0.0,11.390625,3.2,0.2962962962962963,1.0,1.2199282412795707
8,128,0.0,0,0.0,11.390625,6.4,0.2222222222222222,1.3333333333333333,1.285613450426322
8,128,0.0,0,0.0,11.390625,12.8,0.25925925925925924,1.4285714285714286,1.2926950083063014
8,128,0.0,0,0.0,11.390625,25.6,0.14814814814814814,1.75,1.2093860979924036
8,128,0.0,0,0.0,11.390625,51.2,0.25925925925925924,1.0,1.2884643193754939
8,128,0.0,0,0.0,11.390625,102.4,0.37037037037037035,0.7,1.2590634027712944
8,128,0.0,0,0.0,11.390625,204.8,0.25925925925925924,1.1428571428571428,1.2536487757094572
8,128,0.0,0,0.0,11.390625,409.6,0.18518518518518517,0.8,1.2926950083063014
8,128,0.0,0,0.0,11.390625,819.2,0.25925925925925924,1.4285714285714286,1.277108821406335
8,128,0.0,0,0.0,17.0859375,0.1,0.14814814814814814,2.5,1.2711277290448548
8,128,0.0,0,0.0,17.0859375,0.2,0.18518518518518517,2.2,1.1325845238854715
8,128,0.0,0,0.0,17.0859375,0.4,0.1111111111111111,2.0,1.1436843411243482
8,128,0.0,0,0.0,17.0859375,0.8,0.14814814814814814,2.25,1.144165857471919
8,128,0.0,0,0.0,17.0859375,1.6,0.14814814814814814,2.25,1.254652555959706
8,128,0.0,0,0.0,17.0859375,3.2,0.18518518518518517,1.8,1.2583219677614523
8,128,0.0,0,0.0,17.0859375,6.4,0.1111111111111111,1.6666666666666667,1.1635454183520872
8,128,0.0,0,0.0,17.0859375,12.8,0.14814814814814814,3.5,1.1112292684722567
8,128,0.0,0,0.0,17.0859375,25.6,0.2222222222222222,1.3333333333333333,1.1118251430236676
8,128,0.0,0,0.0,17.0859375,51.2,0.18518518518518517,2.0,1.2355250726324687
8,128,0.0,0,0.0,17.0859375,102.4,0.14814814814814814,2.25,1.2355250726324687
8,128,0.0,0,0.0,17.0859375,204.8,0.18518518518518517,2.2,1.0980560910559418
8,128,0.0,0,0.0,17.0859375,409.6,0.2222222222222222,2.0,1.2905072899250232
8,128,0.0,0,0.0,17.0859375,819.2,0.18518518518518517,2.2,1.1122011827550544
8,128,0.0,0,0.0,25.62890625,0.1,0.1111111111111111,2.3333333333333335,1.184516823062123
8,128,0.0,0,0.0,25.62890625,0.2,0.07407407407407407,5.5,0.9707535898006516
8,128,0.0,0,0.0,25.62890625,0.4,0.1111111111111111,4.333333333333333,1.1137930265849216
8,128,0.0,0,0.0,25.62890625,0.8,0.14814814814814814,2.25,1.1122011827550544
8,128,0.0,0,0.0,25.62890625,1.6,0.14814814814814814,3.25,0.9990677477670521
8,128,0.0,0,0.0,25.62890625,3.2,0.1111111111111111,4.0,0.7772096817864421
8,128,0.0,0,0.0,25.62890625,6.4,0.1111111111111111,3.0,1.1483261030701184
8,128,0.0,0,0.0,25.62890625,12.8,0.1111111111111111,4.333333333333333,1.0918497075920883
8,128,0.0,0,0.0,25.62890625,25.6,0.07407407407407407,6.0,0.8713989802428705
8,128,0.0,0,0.0,25.62890625,51.2,0.14814814814814814,3.25,1.0589563396132504
8,128,0.0,0,0.0,25.62890625,102.4,0.07407407407407407,5.0,0.9740874514369365
8,128,0.0,0,0.0,25.62890625,204.8,0.14814814814814814,2.25,1.2033083203626729
8,128,0.0,0,0.0,25.62890625,409.6,0.1111111111111111,3.0,1.2327092369668726
8,128,0.0,0,0.0,25.62890625,819.2,0.1111111111111111,3.6666666666666665,1.1122011827550544
8,128,0.0,0,0.0,38.443359375,0.1,0.07407407407407407,6.5,0.9671030730501876
8,128,0.0,0,0.0,38.443359375,0.2,0.1111111111111111,4.666666666666667,0.9671030730501876
8,128,0.0,0,0.0,38.443359375,0.4,0.07407407407407407,6.5,0.9671030730501876
8,128,0.0,0,0.0,38.443359375,0.8,0.07407407407407407,8.5,0.8256554800957847
8,128,0.0,0,0.0,38.443359375,1.6,0.07407407407407407,6.5,0.9707535898006516
8,128,0.0,0,0.0,38.443359375,3.2,0.1111111111111111,4.666666666666667,0.956122338098301
8,128,0.0,0,0.0,38.443359375,6.4,0.07407407407407407,7.5,0.8963792765729861
