no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy,attack_probability,attackable_slots_count,successful_reorgs,failed_reorgs,malicious_blocks_proposal_percent,malicious_blocks_finality_percent,malicious_finality_probability,delayed_block_influence,total_malicious_blocks_final,total_final_blocks,total_blocks
4,128,0.0,9,0.0,0.6274851700000001,0.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,0.6274851700000001,2.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,0.6274851700000001,12.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,0.6274851700000001,62.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,0.8157307210000002,0.1,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,0.8157307210000002,0.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,0.8157307210000002,2.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,0.8157307210000002,12.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,0.8157307210000002,62.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.0604499373000003,0.1,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.0604499373000003,0.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
4,128,0.0,9,0.0,1.0604499373000003,2.5,1.0,0.0,0.12974069471942834,0.0,0,0,0,0.0,0.0,0.0,0,0,35,35
