no_neighs,no_nodes,tau_block,tau_attestation,mainchain_rate,branch_ratio
3,96,13.0,15.0,0.29411764705882354,1.8
3,96,13.0,17.0,0.29411764705882354,1.7333333333333334
3,96,13.0,19.0,0.3333333333333333,1.588235294117647
3,96,13.0,21.0,0.39215686274509803,1.075
3,96,15.0,1.0,0.3333333333333333,1.7058823529411764
3,96,15.0,3.0,0.29411764705882354,2.066666666666667
3,96,15.0,5.0,0.3627450980392157,1.5675675675675675
3,96,15.0,7.0,0.3333333333333333,1.6470588235294117
3,96,15.0,9.0,0.30392156862745096,1.8064516129032258
3,96,15.0,11.0,0.27450980392156865,2.0
3,96,15.0,13.0,0.2647058823529412,2.1481481481481484
3,96,15.0,15.0,0.24509803921568626,2.16
3,96,15.0,17.0,0.3627450980392157,1.3513513513513513
3,96,15.0,19.0,0.30392156862745096,1.4838709677419355
3,96,15.0,21.0,0.27450980392156865,1.6785714285714286
3,96,17.0,1.0,0.27450980392156865,1.8571428571428572
3,96,17.0,3.0,0.19607843137254902,2.75
3,96,17.0,5.0,0.24509803921568626,2.44
3,96,17.0,7.0,0.29411764705882354,2.033333333333333
3,96,17.0,9.0,0.2549019607843137,2.3076923076923075
3,96,17.0,11.0,0.3431372549019608,1.6
3,96,17.0,13.0,0.30392156862745096,1.7741935483870968
3,96,17.0,15.0,0.2549019607843137,2.3461538461538463
3,96,17.0,17.0,0.27450980392156865,2.1785714285714284
3,96,17.0,19.0,0.24509803921568626,2.2
3,96,17.0,21.0,0.30392156862745096,1.7741935483870968
3,96,19.0,1.0,0.3137254901960784,2.0
3,96,19.0,3.0,0.28431372549019607,2.3448275862068964
3,96,19.0,5.0,0.28431372549019607,1.8620689655172413
3,96,19.0,7.0,0.23529411764705882,2.375
3,96,19.0,9.0,0.27450980392156865,2.2142857142857144
3,96,19.0,11.0,0.19607843137254902,2.6
3,96,19.0,13.0,0.27450980392156865,1.8571428571428572
3,96,19.0,15.0,0.23529411764705882,2.3333333333333335
3,96,19.0,17.0,0.3137254901960784,1.5625
3,96,19.0,19.0,0.27450980392156865,1.6071428571428572
3,96,19.0,21.0,0.22549019607843138,2.217391304347826
3,96,21.0,1.0,0.2549019607843137,2.3076923076923075
3,96,21.0,3.0,0.29411764705882354,1.8666666666666667
3,96,21.0,5.0,0.29411764705882354,2.1666666666666665
3,96,21.0,7.0,0.29411764705882354,2.1333333333333333
3,96,21.0,9.0,0.35294117647058826,1.6111111111111112
3,96,21.0,11.0,0.2549019607843137,2.1923076923076925
3,96,21.0,13.0,0.28431372549019607,1.8620689655172413
3,96,21.0,15.0,0.2647058823529412,2.259259259259259
3,96,21.0,17.0,0.22549019607843138,2.0869565217391304
3,96,21.0,19.0,0.24509803921568626,2.12
3,96,21.0,21.0,0.24509803921568626,1.92
3,96,1.0,1.0,1.0,0.0
3,96,1.0,3.0,1.0,0.0
3,96,1.0,5.0,1.0,0.0
3,96,1.0,7.0,1.0,0.0
3,96,1.0,9.0,1.0,0.0
3,96,1.0,11.0,1.0,0.0
3,96,1.0,13.0,1.0,0.0
3,96,1.0,15.0,1.0,0.0
3,96,1.0,17.0,1.0,0.0
3,96,1.0,19.0,1.0,0.0
3,96,1.0,21.0,1.0,0.0
3,96,3.0,1.0,0.8823529411764706,0.13333333333333333
3,96,3.0,3.0,0.8823529411764706,0.1111111111111111
3,96,3.0,5.0,0.9411764705882353,0.0625
3,96,3.0,7.0,0.7745098039215687,0.22784810126582278
3,96,3.0,9.0,0.8725490196078431,0.14606741573033707
3,96,3.0,11.0,0.8431372549019608,0.1511627906976744
3,96,3.0,13.0,0.8431372549019608,0.1744186046511628
3,96,3.0,15.0,0.9117647058823529,0.08602150537634409
3,96,3.0,17.0,0.8137254901960784,0.1566265060240964
3,96,3.0,19.0,0.8725490196078431,0.0898876404494382
3,96,3.0,21.0,0.9509803921568627,0.05154639175257732
3,96,5.0,1.0,0.6470588235294118,0.5303030303030303
3,96,5.0,3.0,0.696078431372549,0.43661971830985913
3,96,5.0,5.0,0.7254901960784313,0.3783783783783784
3,96,5.0,7.0,0.6078431372549019,0.5
3,96,5.0,9.0,0.7058823529411765,0.3472222222222222
3,96,5.0,11.0,0.7450980392156863,0.32894736842105265
3,96,5.0,13.0,0.6176470588235294,0.47619047619047616
3,96,5.0,15.0,0.696078431372549,0.352112676056338
3,96,5.0,17.0,0.6568627450980392,0.4626865671641791
3,96,5.0,19.0,0.5784313725490197,0.4406779661016949
3,96,5.0,21.0,0.6764705882352942,0.3188405797101449
3,96,7.0,1.0,0.5098039215686274,0.8653846153846154
3,96,7.0,3.0,0.5490196078431373,0.8035714285714286
3,96,7.0,5.0,0.5,0.9215686274509803
3,96,7.0,7.0,0.6176470588235294,0.5714285714285714
3,96,7.0,9.0,0.5392156862745098,0.7636363636363637
3,96,7.0,11.0,0.45098039215686275,1.108695652173913
3,96,7.0,13.0,0.5196078431372549,0.6226415094339622
3,96,7.0,15.0,0.38235294117647056,1.2564102564102564
3,96,7.0,17.0,0.5588235294117647,0.6140350877192983
3,96,7.0,19.0,0.5,0.803921568627451
3,96,7.0,21.0,0.4803921568627451,0.6530612244897959
3,96,9.0,1.0,0.4803921568627451,1.0204081632653061
3,96,9.0,3.0,0.38235294117647056,1.435897435897436
3,96,9.0,5.0,0.4019607843137255,1.2682926829268293
3,96,9.0,7.0,0.47058823529411764,1.0
3,96,9.0,9.0,0.45098039215686275,1.1304347826086956
3,96,9.0,11.0,0.35294117647058826,1.0833333333333333
3,96,9.0,13.0,0.43137254901960786,0.8863636363636364
3,96,9.0,15.0,0.38235294117647056,1.205128205128205
3,96,9.0,17.0,0.3235294117647059,1.303030303030303
3,96,9.0,19.0,0.4117647058823529,1.119047619047619
3,96,9.0,21.0,0.38235294117647056,1.0
3,96,11.0,1.0,0.39215686274509803,1.375
3,96,11.0,3.0,0.4215686274509804,1.1627906976744187
3,96,11.0,5.0,0.38235294117647056,1.3333333333333333
3,96,11.0,7.0,0.4019607843137255,1.2926829268292683
3,96,11.0,9.0,0.3137254901960784,1.40625
3,96,11.0,11.0,0.3627450980392157,1.4054054054054055
3,96,11.0,13.0,0.3627450980392157,1.3243243243243243
3,96,11.0,15.0,0.35294117647058826,1.3055555555555556
3,96,11.0,17.0,0.37254901960784315,1.1578947368421053
3,96,11.0,19.0,0.3431372549019608,1.1142857142857143
3,96,11.0,21.0,0.3137254901960784,1.375
3,96,13.0,1.0,0.37254901960784315,1.4736842105263157
3,96,13.0,3.0,0.38235294117647056,1.358974358974359
3,96,13.0,5.0,0.28431372549019607,2.0
3,96,13.0,7.0,0.37254901960784315,1.5
3,96,13.0,9.0,0.37254901960784315,1.5263157894736843
3,96,13.0,11.0,0.38235294117647056,1.4102564102564104
3,96,13.0,13.0,0.30392156862745096,1.6451612903225807
3,96,13.0,15.0,0.30392156862745096,1.6451612903225807
3,96,13.0,17.0,0.3431372549019608,1.5142857142857142
3,96,13.0,19.0,0.39215686274509803,1.225
3,96,13.0,21.0,0.3333333333333333,1.2941176470588236
3,96,15.0,1.0,0.37254901960784315,1.5
3,96,15.0,3.0,0.3627450980392157,1.6486486486486487
3,96,15.0,5.0,0.3333333333333333,1.6470588235294117
3,96,15.0,7.0,0.3431372549019608,1.5142857142857142
3,96,15.0,9.0,0.27450980392156865,1.9642857142857142
3,96,15.0,11.0,0.3431372549019608,1.5714285714285714
3,96,15.0,13.0,0.30392156862745096,1.6774193548387097
3,96,15.0,15.0,0.38235294117647056,1.3076923076923077
3,96,15.0,17.0,0.2647058823529412,1.7407407407407407
3,96,15.0,19.0,0.30392156862745096,1.7741935483870968
3,96,15.0,21.0,0.2647058823529412,1.8518518518518519
3,96,17.0,1.0,0.3137254901960784,1.9375
3,96,17.0,3.0,0.3333333333333333,1.7647058823529411
3,96,17.0,5.0,0.3627450980392157,1.5945945945945945
3,96,17.0,7.0,0.27450980392156865,2.357142857142857
3,96,17.0,9.0,0.3333333333333333,1.7058823529411764
3,96,17.0,11.0,0.30392156862745096,1.8709677419354838
3,96,17.0,13.0,0.28431372549019607,1.793103448275862
3,96,17.0,15.0,0.2549019607843137,2.0384615384615383
3,96,17.0,17.0,0.28431372549019607,1.8275862068965518
3,96,17.0,19.0,0.3235294117647059,1.4848484848484849
3,96,17.0,21.0,0.24509803921568626,1.88
3,96,19.0,1.0,0.29411764705882354,1.9
3,96,19.0,3.0,0.2647058823529412,2.037037037037037
3,96,19.0,5.0,0.30392156862745096,1.7741935483870968
3,96,19.0,7.0,0.22549019607843138,2.5217391304347827
3,96,19.0,9.0,0.2647058823529412,2.2962962962962963
3,96,19.0,11.0,0.27450980392156865,2.0714285714285716
3,96,19.0,13.0,0.22549019607843138,2.652173913043478
3,96,19.0,15.0,0.2549019607843137,2.076923076923077
3,96,19.0,17.0,0.2647058823529412,1.8518518518518519
3,96,19.0,19.0,0.29411764705882354,1.6666666666666667
3,96,19.0,21.0,0.30392156862745096,1.8064516129032258
3,96,21.0,1.0,0.2549019607843137,2.6153846153846154
3,96,21.0,3.0,0.2647058823529412,2.185185185185185
3,96,21.0,5.0,0.2647058823529412,2.111111111111111
3,96,21.0,7.0,0.2647058823529412,2.037037037037037
3,96,21.0,9.0,0.22549019607843138,2.8260869565217392
